index,year,region_id,fips,region,ubigeo,iso_3166_2,capital,superficie,altitude,latitude,longitude,ha_thousands
1,2003,1,1,Amazonas,10000,PE-AMA,Chachapoyas,39249.13,2338,-6.229444444,-77.87277778,32
2,2003,2,2,Ancash,20000,PE-ANC,Huaraz,35881.3,3073,-9.529722222,-77.52916667,0
3,2003,3,3,Apurimac,30000,PE-APU,Abancay,20895.77,2500,-13.62888889,-72.88611111,40
4,2003,4,4,Arequipa,40000,PE-ARE,Arequipa,63343.95,2429,-16.39333333,-71.52888889,430
5,2003,5,5,Ayacucho,50000,PE-AYA,Ayacucho,43803.26,2797,-13.16027778,-74.22527778,143
6,2003,6,6,Cajamarca,60000,PE-CAJ,Cajamarca,33304.32,2731,-7.154722222,-78.51083333,6
7,2003,7,7,Callao,70000,PE-CAL,Callao,145.91,27,-12.06305556,-77.14694444,0
8,2003,8,8,Cusco,80000,PE-CUS,Cusco,71986.5,3439,-13.51916667,-71.97666667,373
9,2003,9,9,Huancavelica,90000,PE-HUV,Huancavelica,22125.2,3746,-12.78694444,-74.97138889,14
10,2003,10,10,Huanuco,100000,PE-HUC,Huánuco,37263.44,1921,-9.93,-76.23972222,431
11,2003,11,11,Ica,110000,PE-ICA,Ica,21305.51,432,-14.06361111,-75.72916667,0
12,2003,12,12,Junin,120000,PE-JUN,Huancayo,44328.8,3294,-12.07083333,-75.20888889,12
13,2003,13,13,La Libertad,130000,PE-LAL,Trujillo,25495.42,74,-8.1,-79.03055556,97
14,2003,14,14,Lambayeque,140000,PE-LAM,Chiclayo,14461.52,28,-6.766944444,-79.85055556,0
15,2003,15,15,Lima,150000,PE-LIM,Lima,34823.52,162.42,-12.04527778,-77.03083333,0
16,2003,16,16,Loreto,160000,PE-LOR,Iquitos,368799.48,107,-3.748055556,-73.24416667,2236
17,2003,17,17,Madre de Dios,170000,PE-MDD,Puerto Maldonado,85300.54,204,-12.59361111,-69.17666667,2549
18,2003,18,18,Moquegua,180000,PE-MOQ,Moquegua,15733.88,1428,-17.19416667,-70.93333333,3
19,2003,19,19,Pasco,190000,PE-PAS,Cerro de Pasco,25025.84,4373,-10.6825,-76.25694444,0
20,2003,20,20,Piura,200000,PE-PIU,Piura,35656.18,57,-5.1525,-80.65777778,0
21,2003,21,21,Puno,210000,PE-PUN,Puno,66993.52,3848,-15.84027778,-70.02805556,5014
22,2003,22,22,San Martin,220000,PE-SAM,Moyobamba,51305.78,895,-6.034722222,-76.97416667,1358
23,2003,23,23,Tacna,230000,PE-TAC,Tacna,16075.73,583,-18.00194444,-70.25194444,5
24,2003,24,24,Tumbes,240000,PE-TUM,Tumbes,4668.5,9,-3.571111111,-80.45916667,74
25,2003,25,25,Ucayali,250000,PE-UCA,Pucallpa,102199.28,162,-8.368055556,-74.54333333,1239
26,2004,1,1,Amazonas,10000,PE-AMA,Chachapoyas,39249.13,2338,-6.229444444,-77.87277778,2022
27,2004,2,2,Ancash,20000,PE-ANC,Huaraz,35881.3,3073,-9.529722222,-77.52916667,319
28,2004,3,3,Apurimac,30000,PE-APU,Abancay,20895.77,2500,-13.62888889,-72.88611111,3868
29,2004,4,4,Arequipa,40000,PE-ARE,Arequipa,63343.95,2429,-16.39333333,-71.52888889,5202
30,2004,5,5,Ayacucho,50000,PE-AYA,Ayacucho,43803.26,2797,-13.16027778,-74.22527778,4530
31,2004,6,6,Cajamarca,60000,PE-CAJ,Cajamarca,33304.32,2731,-7.154722222,-78.51083333,12763
32,2004,7,7,Callao,70000,PE-CAL,Callao,145.91,27,-12.06305556,-77.14694444,0
33,2004,8,8,Cusco,80000,PE-CUS,Cusco,71986.5,3439,-13.51916667,-71.97666667,10
34,2004,9,9,Huancavelica,90000,PE-HUV,Huancavelica,22125.2,3746,-12.78694444,-74.97138889,2116
35,2004,10,10,Huanuco,100000,PE-HUC,Huánuco,37263.44,1921,-9.93,-76.23972222,4102
36,2004,11,11,Ica,110000,PE-ICA,Ica,21305.51,432,-14.06361111,-75.72916667,0
37,2004,12,12,Junin,120000,PE-JUN,Huancayo,44328.8,3294,-12.07083333,-75.20888889,1092
38,2004,13,13,La Libertad,130000,PE-LAL,Trujillo,25495.42,74,-8.1,-79.03055556,1571
39,2004,14,14,Lambayeque,140000,PE-LAM,Chiclayo,14461.52,28,-6.766944444,-79.85055556,3495
40,2004,15,15,Lima,150000,PE-LIM,Lima,34823.52,162.42,-12.04527778,-77.03083333,0
41,2004,16,16,Loreto,160000,PE-LOR,Iquitos,368799.48,107,-3.748055556,-73.24416667,6553
42,2004,17,17,Madre de Dios,170000,PE-MDD,Puerto Maldonado,85300.54,204,-12.59361111,-69.17666667,0
43,2004,18,18,Moquegua,180000,PE-MOQ,Moquegua,15733.88,1428,-17.19416667,-70.93333333,142
44,2004,19,19,Pasco,190000,PE-PAS,Cerro de Pasco,25025.84,4373,-10.6825,-76.25694444,1501
45,2004,20,20,Piura,200000,PE-PIU,Piura,35656.18,57,-5.1525,-80.65777778,27153
46,2004,21,21,Puno,210000,PE-PUN,Puno,66993.52,3848,-15.84027778,-70.02805556,8478
47,2004,22,22,San Martin,220000,PE-SAM,Moyobamba,51305.78,895,-6.034722222,-76.97416667,355
48,2004,23,23,Tacna,230000,PE-TAC,Tacna,16075.73,583,-18.00194444,-70.25194444,4434
49,2004,24,24,Tumbes,240000,PE-TUM,Tumbes,4668.5,9,-3.571111111,-80.45916667,6
50,2004,25,25,Ucayali,250000,PE-UCA,Pucallpa,102199.28,162,-8.368055556,-74.54333333,562
51,2005,7,7,Callao,70000,PE-CAL,Callao,145.91,27,-12.06305556,-77.14694444,0
52,2006,7,7,Callao,70000,PE-CAL,Callao,145.91,27,-12.06305556,-77.14694444,0
