index,year,region_id,region,artisan,livestock_fisher_miner_quarry,driver,house_worker,manager_administrator_professional,salesperson,service_worker,worker,total,total_pea_thousands
1,2004,0,Nacional,10.16532,33.54748,4.35356,3.68788,11.41175,16.71348,11.88863,3.42605,100,13059.8
2,2004,1,Amazonas,5.49568,63.87753,2.73376,1.85209,7.47653,9.84951,5.42942,1.88938,100,206
3,2004,2,Ancash,7.55066,48.7703,3.26588,1.85187,7.78901,13.05102,10.87831,3.36128,100,541.1
4,2004,3,Apurimac,4.65737,65.4227,1.21371,0.79762,8.01024,9.77932,5.84455,1.87393,100,213.2
5,2004,4,Arequipa,11.93888,22.28023,5.57626,3.94137,14.18426,17.22596,15.72993,4.33522,100,542.6
6,2004,5,Ayacucho,4.35721,66.18433,1.93267,1.00976,6.97113,9.95384,4.46886,3.1129,100,295.3
7,2004,6,Cajamarca,8.61224,64.62148,2.13466,1.81758,4.78437,8.50923,5.15449,2.89421,100,777.8
8,2004,7,Callao,14.01687,0.6196,4.62861,6.2437,14.76003,24.15723,20.73283,5.50024,100,326.6
9,2004,8,Cusco,6.91202,51.00255,2.71313,2.04367,7.84748,14.06521,10.01128,3.20309,100,632
10,2004,9,Huancavelica,1.98437,81.17149,0.97975,0.93972,4.19217,6.35896,2.06787,1.65598,100,225.6
11,2004,10,Huanuco,4.47361,66.78084,2.31064,1.63127,6.58631,10.45306,5.80051,1.29693,100,392.6
12,2004,11,Ica,10.19617,24.75785,6.16964,2.6833,12.18772,19.09134,16.0282,3.57499,100,311.8
13,2004,12,Junin,6.72376,47.24572,3.3464,1.39987,10.23472,17.43617,8.71925,2.20137,100,595.4
14,2004,13,La Libertad,12.20668,33.2335,4.77646,4.25963,9.78751,18.17497,10.95199,2.81446,100,713
15,2004,14,Lambayeque,10.09351,27.9393,6.18257,4.10396,10.54912,21.06663,11.07614,3.58991,100,528
16,2004,15,Lima,14.66396,5.38147,5.78175,6.5084,17.59588,20.90676,16.25612,4.3921,100,3831
17,2004,16,Loreto,6.66088,43.18254,3.76273,2.7028,10.87727,17.08885,8.65376,3.00255,100,423.1
18,2004,17,Madre de Dios,8.55699,26.41155,9.05888,1.48747,11.73358,16.82836,19.3656,2.79265,100,50.8
19,2004,18,Moquegua,8.43936,36.37501,5.62233,2.04103,11.90624,14.17575,10.08493,5.44553,100,84.8
20,2004,19,Pasco,7.40268,47.76141,3.61766,1.41094,8.66699,15.4142,9.32253,3.86038,100,121.5
21,2004,20,Piura,9.60116,37.12053,4.25065,3.21174,6.93127,17.65626,15.36206,3.16816,100,737.5
22,2004,21,Puno,7.96856,57.93265,2.95627,1.15215,6.81198,12.58391,6.29023,2.51365,100,688.3
23,2004,22,San Martin,5.29247,62.09965,2.40554,2.38213,7.62832,9.94277,5.69612,2.31347,100,365.3
24,2004,23,Tacna,9.14344,18.68058,5.9656,2.82078,12.80467,22.38802,16.18609,4.2648,100,154.9
25,2004,24,Tumbes,7.50441,32.02843,5.09023,2.76697,10.00602,18.369,15.29669,4.35947,100,105.8
26,2004,25,Ucayali,10.02263,31.31736,7.35874,2.26002,10.43048,17.7752,13.7136,1.93822,100,195.8
27,2005,0,Nacional,10.13373,33.16213,4.5181,3.65561,11.35085,16.70149,12.02563,3.43887,100,13120.4
28,2005,1,Amazonas,6.27249,63.77187,2.79576,2.08838,5.65549,10.89285,5.50529,1.83248,100,197.7
29,2005,2,Ancash,8.77918,45.70575,3.05347,1.84831,7.78815,14.27962,9.69728,5.18045,100,531.7
30,2005,3,Apurimac,1.80057,64.94316,2.12023,1.29892,7.67618,10.28943,6.79728,3.53314,100,198.3
31,2005,4,Arequipa,11.57961,19.695,5.44403,4.17003,14.21616,18.73067,15.63793,3.40317,100,545.9
32,2005,5,Ayacucho,4.25108,66.56478,1.47392,1.9305,6.62138,10.25718,4.27824,3.08383,100,305.1
33,2005,6,Cajamarca,8.59052,64.19853,1.74572,1.71332,6.16357,8.88918,4.27901,2.55981,100,790.4
34,2005,7,Callao,13.0939,0.41264,6.46897,5.82692,17.41903,19.81718,23.22788,5.14236,100,354
35,2005,8,Cusco,7.46009,51.27022,2.84323,1.80038,8.95413,13.86413,8.11119,3.40442,100,666.7
36,2005,9,Huancavelica,1.5817,79.77963,0.59632,1.01276,4.73997,6.07685,3.48281,1.76455,100,215.2
37,2005,10,Huanuco,5.22682,64.82522,2.58164,2.09617,6.32257,11.99015,3.9593,1.87546,100,395.9
38,2005,11,Ica,11.11975,26.10992,5.01127,3.31687,11.70068,19.57031,14.31442,4.55146,100,331.9
39,2005,12,Junin,7.80885,45.86208,4.2788,1.57178,8.17276,16.56934,8.94401,3.46926,100,601.7
40,2005,13,La Libertad,10.05126,32.87094,4.78144,3.30266,10.78114,20.21078,11.4748,2.28087,100,735.7
41,2005,14,Lambayeque,8.49046,29.08743,5.36663,4.22495,11.05146,22.08284,10.0828,4.45265,100,523.8
42,2005,15,Lima,14.83197,5.17143,6.42486,6.27826,17.45728,20.2734,17.28997,3.50464,100,3732.9
43,2005,16,Loreto,8.13934,42.58254,3.39753,2.58913,9.70328,17.37843,9.16364,3.28897,100,419.7
44,2005,17,Madre de Dios,5.91692,28.59284,6.79275,1.05527,10.99726,22.3202,16.18318,3.07886,100,53.1
45,2005,18,Moquegua,10.38921,35.03857,5.10378,1.80164,11.60198,13.25966,10.89838,6.23363,100,87.7
46,2005,19,Pasco,5.72527,46.66401,4.03673,1.55952,8.95868,15.7367,10.897,2.83698,100,118.1
47,2005,20,Piura,8.57682,36.78622,4.62167,4.15658,6.17096,16.36571,16.24089,3.86391,100,753.7
48,2005,21,Puno,8.46724,58.3293,1.98916,1.44321,6.94462,11.73547,6.06054,3.17298,100,728.9
49,2005,22,San Martin,6.41035,57.15926,3.62004,2.05522,7.18355,12.02707,6.09311,2.23132,100,374.6
50,2005,23,Tacna,7.30715,19.58438,7.19849,2.56352,13.07069,25.44649,12.82141,5.72684,100,150.2
51,2005,24,Tumbes,9.26842,27.27994,5.72721,3.21715,10.34131,18.70089,16.0542,4.20091,100,109.1
52,2005,25,Ucayali,11.1147,29.32285,6.49734,2.41158,9.67776,16.70339,15.39057,3.89105,100,198.5
53,2006,0,Nacional,10.52083,32.04412,4.81137,3.90428,11.07578,16.69396,12.12372,3.5085,100,13683
54,2006,1,Amazonas,5.38904,62.87711,2.79725,1.68437,7.27575,9.86031,5.43581,3.10182,100,203.2
55,2006,2,Ancash,10.17387,42.73078,3.24114,2.24911,8.23694,12.52649,11.67301,5.7575,100,551.7
56,2006,3,Apurimac,3.71432,65.1655,1.58641,1.70839,5.97051,11.98925,4.5011,2.50465,100,228.2
57,2006,4,Arequipa,11.45244,19.06464,5.8416,3.41164,15.3896,18.58712,14.37,3.81844,100,568.3
58,2006,5,Ayacucho,4.5983,64.86365,1.90933,1.54522,5.82883,11.18637,5.51366,2.71402,100,312.5
59,2006,6,Cajamarca,9.86207,62.4888,2.58878,1.29455,5.65115,10.13344,4.67143,2.02032,100,816.9
60,2006,7,Callao,16.37852,0.97194,6.54644,6.35116,11.51088,19.24254,21.63016,6.09812,100,349
61,2006,8,Cusco,6.8035,51.11069,2.60734,2.64258,9.9601,11.85861,9.13984,2.90206,100,677.6
62,2006,9,Huancavelica,1.47184,78.04586,0.50023,0.93196,4.23864,7.7919,3.5059,1.56749,100,217.8
63,2006,10,Huanuco,3.67611,64.5434,3.50757,2.34363,6.00992,10.57723,6.27653,1.79941,100,405.1
64,2006,11,Ica,12.39748,24.87514,5.34676,4.04726,11.04384,18.06919,16.39397,3.68123,100,333.9
65,2006,12,Junin,6.48386,47.29566,3.25638,1.6066,11.73573,15.34057,8.52238,2.43044,100,625.4
66,2006,13,La Libertad,10.9959,33.81356,6.22158,3.12181,8.79377,19.21589,11.67431,2.75697,100,770.6
67,2006,14,Lambayeque,9.4002,27.75217,6.96124,3.47045,10.11446,19.76434,13.88157,3.95828,100,524.1
68,2006,15,Lima,15.05829,5.19326,6.43867,7.13581,15.95572,20.87113,16.4708,3.63049,100,4067.4
69,2006,16,Loreto,7.38499,39.04161,3.74085,2.96826,11.81261,17.31363,9.73493,3.56779,100,432.6
70,2006,17,Madre de Dios,7.32572,24.49993,8.99106,1.86881,15.79681,17.60444,17.82266,1.89796,100,56.4
71,2006,18,Moquegua,7.13079,33.17848,6.46614,1.45,10.95213,13.17542,12.02124,8.65386,100,87.2
72,2006,19,Pasco,6.831,45.46819,4.29497,1.92152,9.41148,14.13673,10.25728,4.9489,100,123.5
73,2006,20,Piura,10.42814,34.29258,4.93622,3.08254,7.75387,18.05392,14.48974,3.84362,100,761.9
74,2006,21,Puno,8.92071,55.65796,2.18931,1.15175,7.23095,14.19651,4.67848,3.73641,100,727.7
75,2006,22,San Martin,5.67324,58.09877,3.60373,2.19641,6.06586,10.15155,8.43074,2.64072,100,375.4
76,2006,23,Tacna,7.43972,17.90595,6.39673,2.62213,14.4786,23.75973,15.55382,4.85005,100,154.1
77,2006,24,Tumbes,7.80847,32.21441,4.26678,3.17559,9.67346,17.75317,14.35961,6.55951,100,111.9
