index,year,region_id,regions,land_agriculture,land_farming,land_nonfarming
1,2021,0,Nacional,16849437.8233392,7495755.84664489,9353681.97252494
2,2021,0.1,Costa,1612056.97560872,1336942.01997984,275114.949100371
3,2021,0.2,Sierra,9193426.42713746,2809534.78747233,6383891.63932654
4,2021,0.3,Selva,6043954.42059208,3349279.03919218,2694675.38409766
5,2021,1,Amazonas,892594.024162184,324685.881862736,567908.141855375
6,2021,2,Áncash,316272.715249865,254232.562541507,62040.1524351768
7,2021,3,Apurímac,135424.267514201,109183.623419514,26240.6440874845
8,2021,4,Arequipa,1148352.68050859,157222.947009694,991129.733476306
9,2021,5,Ayacucho,372904.603360754,238993.551140635,133911.051938651
10,2021,6,Cajamarca,1091669.02119661,598757.363669677,492911.657813337
11,2021,7,Callao,0,0,0
12,2021,8,Cusco,1498788.22935039,407515.678811011,1091272.55072434
13,2021,9,Huancavelica,185114.670706651,142935.812230431,42178.8584762205
14,2021,10,Huánuco,1339074.09476249,820981.042213926,518093.052448008
15,2021,11,Ica,170004.907557627,147466.127935411,22538.7795945213
16,2021,12,Junín,762365.603859222,351141.91199574,411223.691544789
17,2021,13,La Libertad,679525.549150299,494151.478034617,185374.070677593
18,2021,14,Lambayeque,368539.447846726,301849.249214662,66690.1923373407
19,2021,15,Lima,293320.488346382,187271.633803479,106048.854542903
20,2021,16,Loreto,699892.510952866,415227.735963183,284664.77583958
21,2021,17,Madre de Dios,565374.051763248,192947.164343111,372426.887961233
22,2021,18,Moquegua,193840.524487096,24842.9578948546,168997.566592634
23,2021,19,Pasco,593314.778997712,181821.801325279,411492.978109012
24,2021,20,Piura,471004.027033375,373659.290820679,97344.7361606656
25,2021,21,Puno,3081798.04712979,416270.762203466,2665527.28545564
26,2021,22,San Martín,1281885.18895703,927688.174616378,354197.016111055
27,2021,23,Tacna,196429.514447418,70188.9159598259,126240.598291964
28,2021,24,Tumbes,25789.3931004404,23817.852705982,1971.54038787427
29,2021,25,Ucayali,486159.482898168,332902.326928901,153257.1556634
30,2022,0,Nacional,15386642.6528035,6833496.73059275,8553145.92377767
31,2022,0.1,Costa,1540057.1259267,1283120.8952154,256936.233215863
32,2022,0.2,Sierra,8844982.23143584,2652692.9203713,6192289.30791625
33,2022,0.3,Selva,5001603.29543866,2897682.91500496,2103920.38264437
34,2022,1,Amazonas,660800,355754,305046
35,2022,2,Áncash,272078,215130,56948
36,2022,3,Apurímac,147607,126091,21516
37,2022,4,Arequipa,878550,228681,649869
38,2022,5,Ayacucho,260518,180596,79922
39,2022,6,Cajamarca,1131334,667813,463522
40,2022,7,Callao,0,0,0
41,2022,8,Cusco,1463728,365466,1098262
42,2022,9,Huancavelica,155123,115258,39865
43,2022,10,Huánuco,998113,681812,316300
44,2022,11,Ica,162628,148957,13671
45,2022,12,Junín,596660,324532,272128
46,2022,13,La Libertad,666387,497726,168661
47,2022,14,Lambayeque,301649,239971,61678
48,2022,15,Lima,208957,157948,51009
49,2022,16,Loreto,468177,292426,175752
50,2022,17,Madre de Dios,436934,180111,256823
51,2022,18,Moquegua,126339,23148,103191
52,2022,19,Pasco,617981,209909,408072
53,2022,20,Piura,486320,342730,143589
54,2022,21,Puno,3476629,294367,3182262
55,2022,22,San Martín,1098380,805384,292996
56,2022,23,Tacna,214201,68954,145247
57,2022,24,Tumbes,25898,23047,2852
58,2022,25,Ucayali,531650,287686,243964
