index,year,region_id,regions,land_farming,land_crops,land_barbecho,land_unused,land_resting
30,2022,0,Nacional,6833496.73059275,3658709.68914642,1096359.06649962,1520377.54442249,558050.428477106
32,2022,0.2,Sierra,2652692.9203713,902076.268222882,697613.367757437,494957.927949781,558045.357680566
1,2021,0,Nacional,7495755.84664489,3952907.09126739,1242462.41485776,1809383.43991049,491002.904683105
3,2021,0.2,Sierra,2809534.78747233,1009329.51766255,799962.063717973,509240.301127597,491002.90468309
12,2021,8,Cusco,407515.678811011,127234.785242209,85438.553065762,57798.9419866787,137043.398364238
43,2022,10,Huánuco,681812.398437857,292974.019595839,72519.1152301583,185264.114394816,131055.149292788
41,2022,8,Cusco,365465.611770032,152910.194520752,77240.5192227619,26658.6904142333,108656.207880928
25,2021,21,Puno,416270.762203466,92803.955253691,185878.431162126,67079.5937636736,70508.7820409756
54,2022,21,Puno,294367.078921477,49510.930805184,128500.383254351,46839.042888499,69516.72177818
35,2022,2,Áncash,215129.504642495,92384.3457013494,40915.0110115445,27250.205029863,54579.9429244432
14,2021,10,Huánuco,820981.042213926,485510.681198993,75148.8209205612,207586.429343903,52735.1092686532
42,2022,9,Huancavelica,115257.959600075,17450.2826644082,44426.9140387119,8012.8618467212,45367.9010443457
13,2021,9,Huancavelica,142935.812230431,24653.2967317456,60539.2413067751,17049.3921331498,40693.8820587599
17,2021,13,La Libertad,494151.478034617,258816.664449222,115449.601518079,81756.5115422749,38128.7005995778
10,2021,6,Cajamarca,598757.363669677,353631.580561625,106905.667947148,104056.858011408,34163.2568061801
46,2022,13,La Libertad,497725.882016187,264033.553637763,113758.961302223,90040.017748113,29893.348858931
6,2021,2,Áncash,254232.562541507,128636.164629669,47529.7334628017,49581.0615895942,28485.6028594433
23,2021,19,Pasco,181821.801325279,121183.99743053,12553.9300900376,22889.0764477665,25194.7973569452
39,2022,6,Cajamarca,667812.713287111,413893.540541968,102726.584566763,127592.645085073,23599.9439045341
36,2022,3,Apurímac,126091.26732177,29152.1395542727,48485.1429382993,25318.4135338731,23135.5712362914
52,2022,19,Pasco,209908.609621044,145819.766006505,16888.0975342612,24364.2599034161,22836.4861518879
9,2021,5,Ayacucho,238993.551140635,91760.5282618773,75996.0890139178,48906.9716249382,22329.962249983
38,2022,5,Ayacucho,180596.300227623,69371.4215162448,56803.6788402994,33535.0305998546,20886.1692611764
7,2021,3,Apurímac,109183.623419514,21270.8497514217,46860.6199300381,20807.2913669086,20244.8623711454
16,2021,12,Junín,351141.91199574,234056.600607352,76090.8440644932,33889.4048893275,7105.06243456644
45,2022,12,Junín,324531.968636135,217915.328743947,64524.1555558772,35578.5835502667,6513.90061953316
48,2022,15,Lima,157948.086198515,124066.881613432,12829.1655308687,15815.5789675902,5236.46008662361
34,2022,1,Amazonas,355753.975033887,252688.368981236,25628.7745412311,72852.720497872,4584.11093036973
53,2022,20,Piura,342730.495357655,184486.970549399,64275.9537411452,90124.4800490001,3843.09111666664
5,2021,1,Amazonas,324685.881862736,216606.225935247,24990.2537741909,79522.7910469,3566.61190291205
37,2022,4,Arequipa,228680.963582153,93064.3230141012,27975.096144618,104100.418699517,3541.12568915469
8,2021,4,Arequipa,157222.947009694,97868.7504158647,42660.1200611701,13665.1963402985,3028.88030010834
56,2022,23,Tacna,68954.0643408184,37965.7184883755,7466.9966213708,20744.9897109556,2776.35951374856
27,2021,23,Tacna,70188.9159598259,38171.7689689859,4237.77307954226,25696.197957879,2083.1759534188
51,2022,18,Moquegua,23147.9005844907,10438.9008431556,2015.57766572611,8757.71283970601,1935.70924055196
