index,year,region_id,region,total_extension,total_units,total_units_<5ha,extension_units_<5ha,total_units_>5ha,Sum of extension_units_>5ha
1,2019,0,Nacional,190667,177273,175441,154479,1832,36188
2,2019,0.1,Costa,1981,2046,2037,1925,9,56
3,2019,0.2,Sierra,47841,100647,100366,43338,281,4503
4,2019,0.3,Selva,140845,74580,73038,109216,1542,31629
5,2019,1,Amazonas,17355,9263,9023,9645,240,7710
6,2019,2,Áncash,2159,8088,8088,2159,0,0
7,2019,3,Apurímac,1101,2064,2064,1101,0,0
8,2019,4,Arequipa,78,89,89,78,0,0
9,2019,5,Ayacucho,12190,12967,12878,10105,89,2085
10,2019,6,Cajamarca,23770,29097,29097,21899,0,1871
11,2019,7,Callao,0,0,0,0,0,0
12,2019,8,Cusco,17589,12169,11910,12744,259,4845
13,2019,9,Huancavelica,2019,5127,5127,2019,0,0
14,2019,10,Huánuco,8913,7484,7282,6895,202,2018
15,2019,11,Ica,0,14,14,0,0,0
16,2019,12,Junín,32095,19549,19325,28957,224,3138
17,2019,13,La Libertad,3951,6866,6866,3951,0,0
18,2019,14,Lambayeque,630,812,812,630,0,0
19,2019,15,Lima,226,350,350,226,0,0
20,2019,16,Loreto,6821,6755,6755,6006,0,815
21,2019,17,Madre de Dios,4363,1555,1513,2282,42,2081
22,2019,18,Moquegua,75,334,334,75,0,0
23,2019,19,Pasco,6603,3482,3346,5151,136,1452
24,2019,20,Piura,1407,2164,2164,1407,0,0
25,2019,21,Puno,9367,29665,29665,9367,0,0
26,2019,22,San Martín,25971,14491,14331,22143,160,3828
27,2019,23,Tacna,1,0,0,1,0,0
28,2019,24,Tumbes,182,90,81,126,9,56
29,2019,25,Ucayali,13801,4798,4327,7512,471,6289
30,2021,0,Nacional,172639,159790,153595,114063,6195,58576
31,2021,0.1,Costa,2188,2761,2750,2129,12,59
32,2021,0.2,Sierra,50434,96061,94783,38361,1278,12073
33,2021,0.3,Selva,120017,60968,56062,73574,4906,46443
34,2021,1,Amazonas,13081,8783,8222,7711,561,5370
35,2021,2,Áncash,1234,6025,6025,1234,0,0
36,2021,3,Apurímac,1447,2998,2998,1447,0,0
37,2021,4,Arequipa,1,45,45,1,0,0
38,2021,5,Ayacucho,14937,14246,13605,9040,641,5897
39,2021,6,Cajamarca,17570,27272,26744,12892,528,4679
40,2021,7,Callao,0,0,0,0,0,0
41,2021,8,Cusco,6865,8582,8453,5582,128,1283
42,2021,9,Huancavelica,2881,5957,5894,2495,63,386
43,2021,10,Huánuco,9304,8041,7384,5172,657,4132
44,2021,11,Ica,110,50,36,2,14,108
45,2021,12,Junín,28375,14860,13489,19046,1371,9329
46,2021,13,La Libertad,2893,5184,5184,2893,0,0
47,2021,14,Lambayeque,662,1416,1416,662,0,0
48,2021,15,Lima,389,555,555,389,0,0
49,2021,16,Loreto,6803,6533,6309,5323,224,1480
50,2021,17,Madre de Dios,4436,1198,975,1395,222,3041
51,2021,18,Moquegua,68,220,220,68,0,0
52,2021,19,Pasco,6636,2918,2774,3247,144,3389
53,2021,20,Piura,2994,2095,2021,1875,75,1119
54,2021,21,Puno,8973,25052,25052,8973,0,0
55,2021,22,San Martín,28163,13572,12903,19471,669,8691
56,2021,23,Tacna,1,38,38,1,0,0
57,2021,24,Tumbes,127,47,36,68,12,59
58,2021,25,Ucayali,14689,4105,3218,5077,888,9612
59,2022,0,Nacional,231943,220608,217413,196645,3195,35298
60,2022,0.1,Costa,1627,3116,3108,1588,8,39
61,2022,0.2,Sierra,61656,129697,129440,59074,257,2582
62,2022,0.3,Selva,168660,87795,84865,135984,2930,32677
63,2022,1,Amazonas,19025,10945,10680,15226,265,3798
64,2022,2,Áncash,2019,14350,14350,2019,0,0
65,2022,3,Apurímac,3312,6027,6027,3312,0,0
66,2022,4,Arequipa,361,163,163,361,0,0
67,2022,5,Ayacucho,12127,12995,12949,11266,46,860
68,2022,6,Cajamarca,34355,40981,40981,34355,0,0
69,2022,7,Callao,0,0,0,0,0,0
70,2022,8,Cusco,8402,8229,8229,8402,0,0
71,2022,9,Huancavelica,5487,9792,9792,5487,0,0
72,2022,10,Huánuco,10905,8877,8567,8932,310,1973
73,2022,11,Ica,13,68,68,13,0,0
74,2022,12,Junín,41076,21301,20509,33985,792,7091
75,2022,13,La Libertad,5562,11266,11266,5562,0,0
76,2022,14,Lambayeque,1149,1744,1744,1149,0,0
77,2022,15,Lima,129,298,298,129,0,0
78,2022,16,Loreto,14495,12603,12442,13097,161,1398
79,2022,17,Madre de Dios,6535,1621,1418,2406,203,4129
80,2022,18,Moquegua,32,90,90,32,0,0
81,2022,19,Pasco,4126,3726,3726,4126,0,0
82,2022,20,Piura,1893,3637,3637,1893,0,0
83,2022,21,Puno,11404,33203,33203,11404,0,0
84,2022,22,San Martín,25620,11935,11471,21222,464,4398
85,2022,23,Tacna,1,0,0,1,0,0
86,2022,24,Tumbes,136,67,59,96,8,39
87,2022,25,Ucayali,23780,6689,5743,12169,946,11611
