index,natural_region_id,natural_region,region_id,region,admin_basin_id,admin_basin,reservoir_id,reservoir,max_capacity,farming,industrial,mining,population
1,0.1,Costa,4,Arequipa,1,Quilca - Vítor - Chili,1,Aguada Blanca,30.43,300.85,1.62,36.58,63.42
2,0.1,Costa,4,Arequipa,1,Quilca - Vítor - Chili,1,Aguada Blanca,30.43,56.67,1.93,2.57,3.22
3,0.1,Costa,4,Arequipa,1,Quilca - Vítor - Chili,1,Aguada Blanca,30.43,26.49,0.24,2.92,6.48
4,0.1,Costa,4,Arequipa,1,Quilca - Vítor - Chili,1,Aguada Blanca,30.43,249.63,5.74,30.35,52.67
5,0.1,Costa,23,Tacna,2,Locumba,2,Aricota,260,69.16,0,0,5.69
6,0.1,Costa,23,Tacna,2,Locumba,2,Aricota,260,69.2,0,0,4.73
7,0.1,Costa,23,Tacna,2,Locumba,2,Aricota,260,69.194,0.126,0,4.73
8,0.1,Costa,23,Tacna,2,Locumba,2,Aricota,260,69.16,0,0,4.99
9,0.1,Costa,11,Ica,3,Ica,3,Choclococha,131.1,82.21,0,0,0
10,0.1,Costa,11,Ica,3,Ica,3,Choclococha,131.1,51.89,0,0,0
11,0.1,Costa,11,Ica,3,Ica,3,Choclococha,131.1,106.27,0,0,0
12,0.1,Costa,11,Ica,3,Ica,3,Choclococha,131.1,28.88,0,0,0
13,0.1,Costa,4,Arequipa,4,Camaná,4,Condoroma,259,197.06,1.87,0.53,4.39
14,0.1,Costa,4,Arequipa,4,Camaná,4,Condoroma,259,173.32,1.66,0.51,2.57
15,0.1,Costa,4,Arequipa,4,Camaná,4,Condoroma,259,475.83,2.3,0,4.8
16,0.1,Costa,4,Arequipa,4,Camaná,4,Condoroma,259,543.65,2.3,0.05,6
17,0.1,Costa,4,Arequipa,1,Quilca - Vítor - Chili,5,El Frayle,127.24,98.21,3.35,4.46,5.58
18,0.1,Costa,4,Arequipa,1,Quilca - Vítor - Chili,5,El Frayle,127.24,46.34,1.07,5.64,9.78
19,0.1,Costa,4,Arequipa,1,Quilca - Vítor - Chili,5,El Frayle,127.24,110.59,1.01,12.4,27.37
20,0.1,Costa,4,Arequipa,1,Quilca - Vítor - Chili,5,El Frayle,127.24,17.94,0.41,2.18,3.79
21,0.1,Costa,4,Arequipa,4,Camaná,6,El Pañe,99.6,75.31,2.57,3.42,4.28
22,0.1,Costa,4,Arequipa,4,Camaná,6,El Pañe,99.6,58.41,1.34,7.1,12.32
23,0.1,Costa,4,Arequipa,4,Camaná,6,El Pañe,99.6,54.56,1.26,6.63,11.51
24,0.1,Costa,4,Arequipa,4,Camaná,6,El Pañe,99.6,68.27,0.63,7.68,16.9
25,0.1,Costa,13,La Libertad,5,Jequetepeque,7,Gallito Ciego,366.08,775.54,0.03,0,6.3
26,0.1,Costa,13,La Libertad,5,Jequetepeque,7,Gallito Ciego,366.08,735.2002,0,0,11.55
27,0.1,Costa,13,La Libertad,5,Jequetepeque,7,Gallito Ciego,366.08,659.41,0.04,0,6.34
28,0.1,Costa,13,La Libertad,5,Jequetepeque,7,Gallito Ciego,366.08,581.86,0,0,13.27
29,0.1,Costa,23,Tacna,6,Sama,8,Jarumas,12,30.18,0,0,0.35
30,0.1,Costa,23,Tacna,6,Sama,8,Jarumas,12,42.24,0,0,0.52
31,0.1,Costa,23,Tacna,6,Sama,8,Jarumas,12,31.2641,0,0,0.063
32,0.1,Costa,23,Tacna,6,Sama,8,Jarumas,12,31.26,0,0,0.06
33,0.2,Sierra,21,Puno,7,Coata,9,Lagunillas,500,34.3,0,0,11.246848
34,0.2,Sierra,21,Puno,7,Coata,9,Lagunillas,500,64.37,0,0,11.56
