index,basin_id,basin,river_id,river,total_length,length_peru,source_place_id,source_place,source_altitude,mouth_place_id,mouth_place,mouth-altitude
62,0.4,Amazonas,62,Río Achuime,46.12,46.12,1,Amazonas,1060,1,Amazonas,368
97,0.4,Amazonas,97,Río Cenepa,201.7,201.7,1,Amazonas,2328,1,Amazonas,237
126,0.4,Amazonas,126,Río Comaina,78.47,78.47,1,Amazonas,2354,1,Amazonas,364
127,0.4,Amazonas,127,Río Comaina,173.24,173.24,1,Amazonas,1080,1,Amazonas,214
158,0.4,Amazonas,158,Río Huayabamba,218.41,218.41,1,Amazonas,2805,22,San Martín,281
285,0.4,Amazonas,285,Río Tunduza,41.3,41.3,1,Amazonas,1575,1,Amazonas,547
297,0.4,Amazonas,297,Río Utcubamba,247.83,247.83,1,Amazonas,3449,1,Amazonas,362
215,0.4,Amazonas,215,Río Pachitea,587.24,587.24,10,Huánuco,4297,25,Ucayali,148
267,0.4,Amazonas,267,Río Sungaroyacu,128.87,128.87,10,Huánuco,1500,10,Huánuco,187
2,0.5,Pacific,2,Quebrada Ayoque,53.58,53.58,11,Ica,4161,11,Ica,401
15,0.5,Pacific,15,Quebrada Gramonal,93.63,93.63,11,Ica,3031,11,Ica,58
54,0.5,Pacific,54,Quebrada Topará,62.5,62.5,11,Ica,4296,11,Ica,5
261,0.5,Pacific,261,Río Seco,95.06,95.06,11,Ica,2923,11,Ica,7
45,0.4,Amazonas,45,Quebrada Poyeni,62.74,62.74,12,Junín,2604,12,Junín,263
74,0.4,Amazonas,74,Río Anapatí,104.22,104.22,12,Junín,3520,12,Junín,412
128,0.4,Amazonas,128,Río Conas,99,99,12,Junín,4683,12,Junín,"3,189"
140,0.4,Amazonas,140,Río Cutivireni,108.72,108.72,12,Junín,3728,12,Junín,401
193,0.4,Amazonas,193,Río Mantaro,768.84,768.84,12,Junín,4334,12,Junín,467
227,0.4,Amazonas,227,Río Perené,282.81,282.81,12,Junín,4499,12,Junín,305
104,0.5,Pacific,104,Río Chao,55.02,55.02,13,La Libertad,3632,13,La Libertad,27
106,0.5,Pacific,106,Río Chicama,168.63,168.63,13,La Libertad,4148,13,La Libertad,2
150,0.5,Pacific,150,Río Huamansaña,76.11,76.11,13,La Libertad,4228,13,La Libertad,9
200,0.5,Pacific,200,Río Moche,109.87,109.87,13,La Libertad,4109,13,La Libertad,6
287,0.5,Pacific,287,Río Tutumo,53.23,53.23,13,La Libertad,4073,13,La Libertad,245
304,0.5,Pacific,304,Río Virú,95.17,95.17,13,La Libertad,4027,13,La Libertad,7
203,0.5,Pacific,203,Río Motupe,132.85,132.85,14,Lambayeque,2531,14,Lambayeque,4
204,0.5,Pacific,204,Río Motupe,61.81,61.81,14,Lambayeque,3755,14,Lambayeque,78
10,0.5,Pacific,10,Quebrada Chilca,58.47,58.46,15,Lima,3640,15,Lima,0
40,0.5,Pacific,40,Quebrada Orcon,51.17,51.17,15,Lima,4509,15,Lima,277
58,0.5,Pacific,58,Rio Huaura,161.6,161.6,15,Lima,4745,15,Lima,5
84,0.5,Pacific,84,Río Cacra,63.18,63.18,15,Lima,4685,15,Lima,"1,086"
95,0.5,Pacific,95,Río Cañete,230.39,230.39,15,Lima,4863,15,Lima,3
102,0.5,Pacific,102,Río Chancay,116.36,116.36,15,Lima,4748,15,Lima,2
105,0.5,Pacific,105,Río Checras,52.63,52.63,15,Lima,4775,15,Lima,"2,125"
112,0.5,Pacific,112,Río Chillón,131.14,131.14,15,Lima,4843,7,Callao,5
144,0.5,Pacific,144,Río Grande,72.31,72.31,15,Lima,4367,15,Lima,0
151,0.5,Pacific,151,Río Huanangue,53.47,53.47,15,Lima,4595,15,Lima,627
187,0.5,Pacific,187,Río Lurín,108.5,108.5,15,Lima,4799,15,Lima,0
190,0.5,Pacific,190,Río Mala,128.96,128.96,15,Lima,4970,15,Lima,3
246,0.5,Pacific,246,Río Rapay,55.74,55.74,15,Lima,4642,15,Lima,"1,387"
248,0.5,Pacific,248,Río Rímac,144.78,144.78,15,Lima,4870,7,Callao,3
256,0.5,Pacific,256,Río Santa Eulalia,64.78,64.78,15,Lima,4665,15,Lima,930
268,0.5,Pacific,268,Río Supe,93.24,93.24,15,Lima,4698,15,Lima,7
39,0.4,Amazonas,39,Quebrada Naranjal,39.26,39.26,16,Loreto,132,16,Loreto,117
70,0.4,Amazonas,70,Río Algodoncillo,749.82,749.82,16,Loreto,188,16,Loreto,89
73,0.4,Amazonas,73,Río Ampiyacu,196.78,196.78,16,Loreto,140,16,Loreto,73
76,0.4,Amazonas,76,Río Apayacu,194.06,194.06,16,Loreto,135,16,Loreto,73
77,0.4,Amazonas,77,Río Atacuari,239.08,238.99,16,Loreto,121,16,Loreto,66
91,0.4,Amazonas,91,Río Carhuapanas,263.02,263.02,16,Loreto,1210,16,Loreto,133
139,0.4,Amazonas,139,Río Cushabatay,247.47,247.47,16,Loreto,1183,16,Loreto,128
148,0.4,Amazonas,148,Río Gálvez,257.71,257.71,16,Loreto,161,16,Loreto,98
170,0.4,Amazonas,170,Río Itaya,203.98,203.98,16,Loreto,129,16,Loreto,87
192,0.4,Amazonas,192,Río Manití,229.6,229.6,16,Loreto,149,16,Loreto,81
197,0.4,Amazonas,197,Río Mazán,509.11,509.11,16,Loreto,196,16,Loreto,98
206,0.4,Amazonas,206,Río Nanay,544.63,544.63,16,Loreto,204,16,Loreto,95
209,0.4,Amazonas,209,Río Nucuray,281.74,281.74,16,Loreto,180,16,Loreto,109
212,0.4,Amazonas,212,Río Orosa,172.2,172.2,16,Loreto,116,16,Loreto,94
223,0.4,Amazonas,223,Río Paranapura,172.18,172.18,16,Loreto,1525,16,Loreto,127
225,0.4,Amazonas,225,Río Patayacu,337.44,337.44,16,Loreto,167,16,Loreto,103
235,0.4,Amazonas,235,Río Potro,231.71,231.71,16,Loreto,1503,16,Loreto,142
252,0.4,Amazonas,252,Río Samiria,405.14,405.14,16,Loreto,155,16,Loreto,117
273,0.4,Amazonas,273,Río Tahuayo,134.01,134.01,16,Loreto,170,16,Loreto,88
278,0.4,Amazonas,278,Río Tapiche,666.74,666.74,16,Loreto,297,16,Loreto,94
292,0.4,Amazonas,292,Río Ungumayo,138.97,138.97,16,Loreto,163,16,Loreto,120
294,0.4,Amazonas,294,Río Urituyacu,273.77,273.77,16,Loreto,190,16,Loreto,109
296,0.4,Amazonas,296,Río Ushpayacu,261.4,261.4,16,Loreto,210,16,Loreto,137
307,0.4,Amazonas,307,Río Yaguas,474.92,474.08,16,Loreto,132,16,Loreto,66
310,0.4,Amazonas,310,Río Yavarí,1309.44,1309.44,16,Loreto,565,16,Loreto,61
311,0.4,Amazonas,311,Río Yavarí Mirín,327.17,327.17,16,Loreto,151,16,Loreto,85
60,0.4,Amazonas,60,Río Abismo,52.34,14.68,17,Madre de Dios,412,Br,Brasil,257
103,0.4,Amazonas,103,Río Chandless,328.9,104.65,17,Madre de Dios,380,Br,Brasil,169
141,0.4,Amazonas,141,Río De las Piedras,784.41,784.41,17,Madre de Dios,614,17,Madre de Dios,177
179,0.4,Amazonas,179,Río Lanza,116.22,38.17,17,Madre de Dios,351,Bo,Bolivia,227
189,0.4,Amazonas,189,Río Madre de Dios,1312.2,833.29,17,Madre de Dios,518,Bo,Bolivia,124
194,0.4,Amazonas,194,Río Manuripe,495.68,263.43,17,Madre de Dios,471,Bo,Bolivia,175
205,0.4,Amazonas,205,Río Muymanu,209.54,182.37,17,Madre de Dios,439,Bo,Bolivia,241
257,0.4,Amazonas,257,Río Santa Rosa,139.77,139.77,17,Madre de Dios,336,17,Madre de Dios,196
