index,region_id,region,gender_id,gender,producers_thousands,granted_loans_thousands,illiteracy_percent,postgraduate_percent,primary_percent,secondary_percent,dont_need_loans_percent,high_interest_percent,no_collateral_percent,other_reasons_percent,red_tape_percent,will_not_get_it_percent,affiliation_percent,spanish,quechua,aymara,amazonia,requested_loans_percent,trained_thousands
1,0,Nacional,1,men,1554.781,145.989,8.884209416,7.475265005,63.79901735,28.72571764,34.90821182,27.95738198,15.22041885,7.363648823,5.82546217,5.853519223,23.31100007,63.55924082,29.63253346,4.165088202,2.643137522,161.192,253.536
2,1,Amazonas,1,men,56.037,3.88,5.601656049,6.085265093,67.50004461,26.41469029,31.2253041,21.75563648,25.99041534,7.410707368,5.888277679,5.994809018,14.41726002,81.70672948,0.069596873,0.010707211,18.21296643,4.409,8.237
3,2,Ancash,1,men,109.358,4.014,11.87201668,6.085265093,64.43607235,26.06759451,34.37162595,26.12962096,15.95262314,9.086652844,4.160177338,6.504935075,31.84403519,34.42363613,65.46023153,0.02560398,0.090528356,4.699,8.482
4,3,Apurimac,1,men,56.581,6.755,13.68303848,7.723440731,61.84231456,30.43424471,42.66831302,29.4745152,10.48566511,5.426905793,5.408687907,4.847981863,23.30817766,11.92803238,87.97476185,0.035347555,0.061858221,7.179,9.105
5,4,Arequipa,1,men,37.845,7.4,3.0651341,20.06870128,39.27599419,29.21233256,38.27652648,30.12424424,12.50997833,7.866586938,6.996212876,4.378446615,72.35830361,71.55766944,27.39331484,0.885189589,0.163826133,7.743,9.687
6,5,Ayacucho,1,men,72.264,5.548,12.61485664,6.932912654,63.85475479,29.21233256,32.76990599,29.04612207,17.29235101,6.401202788,6.635078288,4.467933239,20.27012067,14.66567032,85.20425108,0.022141038,0.107937562,6.417,14.675
7,6,Cajamarca,1,men,218.68,11.018,9.93963783,4.860069508,73.93040059,21.20952991,42.66347378,27.47360036,13.93631118,4.545012969,3.918901853,6.30191282,9.422443753,99.45399671,0.352112676,0.006402049,0.187488568,12.806,18.598
8,7,Cusco,1,men,125.383,9.826,11.47843009,6.533581107,62.90725218,30.55916671,33.396611,39.28843243,8.946426487,5.441296113,7.506714139,4.293550052,24.42755397,15.63848369,82.805484,0.006402049,1.549630268,11.072,28.899
9,8,Huancavelica,1,men,51.617,2.546,12.1549102,4.709688668,65.54623477,29.74407656,32.22475416,27.76169654,18.01034656,6.524193714,6.380489007,6.528299563,10.07613771,22.91493113,76.98820156,0.037485146,0.059382166,2.906,7.132
10,9,Huanuco,1,men,78.99,4.64,11.59640461,4.655019623,71.80655779,23.53842259,22.40559936,22.63300516,31.08923588,7.029154241,6.763620518,7.178942495,5.431067224,60.67350298,38.9403722,0.027122847,0.359001979,5.553,9.217
11,10,Ica,1,men,20.415,3.705,1.748714181,22.89982856,36.68381092,40.41636052,54.05060212,25.94574869,7.21429265,3.643109111,6.63544581,2.171268702,47.05853539,92.50551065,7.185892726,0.037979491,0.270617129,3.973,6.129
12,11,Junin,1,men,89.232,14.636,4.88838085,9.48314506,50.54464766,39.97220728,31.26648896,30.81265805,14.06443006,5.277834734,7.987150571,3.879434078,21.81504393,74.50017931,16.93338713,0.083272104,8.483161463,16.077,19.125
13,12,La Libertad,1,men,89.925,5.624,8.758409786,5.244370309,77.27661941,17.47901029,39.30540637,21.50495286,18.24807169,7.771810479,4.111469149,7.243107769,30.30525438,99.7675841,0.105643592,0.031378878,0.095393433,6.135,8.993
14,13,Lambayeque,1,men,40.911,8.944,7.254772555,9.122240962,62.64818753,28.22957151,52.38125376,22.08474415,8.751642576,5.797284896,5.199202557,3.060029746,67.75928234,89.97580113,9.91909266,0.01000834,0.095097866,9.31,7.748
15,14,Lima,1,men,52.446,8.086,1.708423903,15.75906647,41.09941654,43.14151699,44.62766564,25.69962367,11.83469864,6.075949367,7.369141293,3.049378492,58.25420432,90.42634329,9.085535599,0.091522709,0.396598406,8.601,15.346
