continent,continent_id,country,country_id,iso_3,product_name,trade_value
Asia,as,Afghanistan,asafg,afg,Asparagus,403230
Asia,as,United Arab Emirates,asare,are,Asparagus,5172112
Asia,as,Armenia,asarm,arm,Asparagus,13721
Asia,as,Azerbaijan,asaze,aze,Asparagus,31437
Asia,as,Bangladesh,asbgd,bgd,Asparagus,7497
Asia,as,Bahrain,asbhr,bhr,Asparagus,97795
Asia,as,Brunei,asbrn,brn,Asparagus,145033
Asia,as,Bhutan,asbtn,btn,Asparagus,1034
Asia,as,Cocos (Keeling) Islands,ascck,cck,Asparagus,304
Asia,as,China,aschn,chn,Asparagus,30698
Asia,as,Christmas Island,ascxr,cxr,Asparagus,911
Asia,as,Cyprus,ascyp,cyp,Asparagus,266863
Asia,as,Georgia,asgeo,geo,Asparagus,17531
Asia,as,Hong Kong,ashkg,hkg,Asparagus,4064201
Asia,as,Indonesia,asidn,idn,Asparagus,6844
Asia,as,India,asind,ind,Asparagus,145313
Asia,as,Iran,asirn,irn,Asparagus,3109
Asia,as,Iraq,asirq,irq,Asparagus,56785
Asia,as,Israel,asisr,isr,Asparagus,25362
Asia,as,Jordan,asjor,jor,Asparagus,218874
Asia,as,Japan,asjpn,jpn,Asparagus,61657346
Asia,as,Kazakhstan,askaz,kaz,Asparagus,33762
Asia,as,Cambodia,askhm,khm,Asparagus,11972
Asia,as,South Korea,askor,kor,Asparagus,7737079
Asia,as,Kuwait,askwt,kwt,Asparagus,1298749
Asia,as,Laos,aslao,lao,Asparagus,2604
Asia,as,Lebanon,aslbn,lbn,Asparagus,31874
Asia,as,Sri Lanka,aslka,lka,Asparagus,64
Asia,as,Macau,asmac,mac,Asparagus,382807
Asia,as,Maldives,asmdv,mdv,Asparagus,1280166
Asia,as,Burma,asmmr,mmr,Asparagus,4304
Asia,as,Mongolia,asmng,mng,Asparagus,398
Asia,as,Malaysia,asmys,mys,Asparagus,509796
Asia,as,Nepal,asnpl,npl,Asparagus,752
Asia,as,Oman,asomn,omn,Asparagus,164142
Asia,as,Pakistan,aspak,pak,Asparagus,48566
Asia,as,Philippines,asphl,phl,Asparagus,25080
Asia,as,North Korea,asprk,prk,Asparagus,6443
Asia,as,Palestine,aspse,pse,Asparagus,990
Asia,as,Qatar,asqat,qat,Asparagus,1222429
Asia,as,Saudi Arabia,assau,sau,Asparagus,1505395
Asia,as,Singapore,assgp,sgp,Asparagus,5229258
Asia,as,Thailand,astha,tha,Asparagus,86289
Asia,as,Turkey,astur,tur,Asparagus,688055
Asia,as,Uzbekistan,asuzb,uzb,Asparagus,24
Asia,as,Vietnam,asvnm,vnm,Asparagus,108710
Asia,as,Chinese Taipei,asxxb,,Asparagus,4772262
Asia,as,Afghanistan,asafg,afg,Avocados,60198
Asia,as,United Arab Emirates,asare,are,Avocados,41383972
Asia,as,Armenia,asarm,arm,Avocados,942731
Asia,as,Azerbaijan,asaze,aze,Avocados,884178
Asia,as,Bangladesh,asbgd,bgd,Avocados,65076
Asia,as,Bahrain,asbhr,bhr,Avocados,2578289
Asia,as,Brunei,asbrn,brn,Avocados,770460
Asia,as,Bhutan,asbtn,btn,Avocados,44887
Asia,as,China,aschn,chn,Avocados,103765930
Asia,as,Christmas Island,ascxr,cxr,Avocados,1288
Asia,as,Cyprus,ascyp,cyp,Avocados,3766398
Asia,as,Georgia,asgeo,geo,Avocados,1163337
Asia,as,Hong Kong,ashkg,hkg,Avocados,58264247
Asia,as,Indonesia,asidn,idn,Avocados,530525
Asia,as,India,asind,ind,Avocados,2876442
Asia,as,Iran,asirn,irn,Avocados,85915
Asia,as,Iraq,asirq,irq,Avocados,782024
Asia,as,Israel,asisr,isr,Avocados,347256
Asia,as,Jordan,asjor,jor,Avocados,6474797
Asia,as,Japan,asjpn,jpn,Avocados,174254920
Asia,as,Kazakhstan,askaz,kaz,Avocados,1097057
Asia,as,Kyrgyzstan,askgz,kgz,Avocados,41325
Asia,as,Cambodia,askhm,khm,Avocados,45997
Asia,as,South Korea,askor,kor,Avocados,53159283
Asia,as,Kuwait,askwt,kwt,Avocados,7643959
Asia,as,Laos,aslao,lao,Avocados,55732
Asia,as,Lebanon,aslbn,lbn,Avocados,684525
Asia,as,Macau,asmac,mac,Avocados,2369006
Asia,as,Maldives,asmdv,mdv,Avocados,1309101
Asia,as,Burma,asmmr,mmr,Avocados,65783
Asia,as,Mongolia,asmng,mng,Avocados,67945
Asia,as,Malaysia,asmys,mys,Avocados,11778423
Asia,as,Nepal,asnpl,npl,Avocados,305765
Asia,as,Oman,asomn,omn,Avocados,4372914
Asia,as,Pakistan,aspak,pak,Avocados,47746
Asia,as,Philippines,asphl,phl,Avocados,174128
Asia,as,Palestine,aspse,pse,Avocados,18274527
Asia,as,Qatar,asqat,qat,Avocados,10816983
Asia,as,Saudi Arabia,assau,sau,Avocados,18645703
Asia,as,Singapore,assgp,sgp,Avocados,18090982
Asia,as,Syria,assyr,syr,Avocados,15304
Asia,as,Thailand,astha,tha,Avocados,12122526
Asia,as,Tajikistan,astjk,tjk,Avocados,1300
Asia,as,Turkmenistan,astkm,tkm,Avocados,1883
Asia,as,Timor-Leste,astls,tls,Avocados,788
Asia,as,Turkey,astur,tur,Avocados,7284249
Asia,as,Uzbekistan,asuzb,uzb,Avocados,141717
Asia,as,Vietnam,asvnm,vnm,Avocados,27493
Asia,as,Chinese Taipei,asxxb,,Avocados,7987410
Asia,as,Yemen,asyem,yem,Avocados,934034
Asia,as,Afghanistan,asafg,afg,Bananas,25809656
Asia,as,United Arab Emirates,asare,are,Bananas,117171219
Asia,as,Armenia,asarm,arm,Bananas,2225372
Asia,as,Azerbaijan,asaze,aze,Bananas,6852398
Asia,as,Bangladesh,asbgd,bgd,Bananas,19
Asia,as,Bahrain,asbhr,bhr,Bananas,3774737
Asia,as,Brunei,asbrn,brn,Bananas,91373
Asia,as,Bhutan,asbtn,btn,Bananas,1865
Asia,as,China,aschn,chn,Bananas,831035997
Asia,as,Cyprus,ascyp,cyp,Bananas,7295315
Asia,as,Georgia,asgeo,geo,Bananas,25833960
Asia,as,Hong Kong,ashkg,hkg,Bananas,33101099
Asia,as,Indonesia,asidn,idn,Bananas,55215
Asia,as,India,asind,ind,Bananas,64587
Asia,as,Iran,asirn,irn,Bananas,92855296
Asia,as,Iraq,asirq,irq,Bananas,95855932
Asia,as,Israel,asisr,isr,Bananas,98928
Asia,as,Jordan,asjor,jor,Bananas,30305387
Asia,as,Japan,asjpn,jpn,Bananas,646310486
Asia,as,Kazakhstan,askaz,kaz,Bananas,18556896
Asia,as,Kyrgyzstan,askgz,kgz,Bananas,3006444
Asia,as,Cambodia,askhm,khm,Bananas,1841
Asia,as,South Korea,askor,kor,Bananas,241899058
Asia,as,Kuwait,askwt,kwt,Bananas,63105601
Asia,as,Laos,aslao,lao,Bananas,243967
Asia,as,Lebanon,aslbn,lbn,Bananas,25442
Asia,as,Sri Lanka,aslka,lka,Bananas,256
Asia,as,Macau,asmac,mac,Bananas,1827660
Asia,as,Maldives,asmdv,mdv,Bananas,913351
Asia,as,Burma,asmmr,mmr,Bananas,4448
Asia,as,Mongolia,asmng,mng,Bananas,1494419
Asia,as,Malaysia,asmys,mys,Bananas,7642676
Asia,as,Nepal,asnpl,npl,Bananas,3461417
Asia,as,Oman,asomn,omn,Bananas,16913430
Asia,as,Pakistan,aspak,pak,Bananas,264808
Asia,as,Philippines,asphl,phl,Bananas,125209
Asia,as,North Korea,asprk,prk,Bananas,4982206
Asia,as,Palestine,aspse,pse,Bananas,19387
Asia,as,Qatar,asqat,qat,Bananas,12712265
Asia,as,Saudi Arabia,assau,sau,Bananas,130338964
Asia,as,Singapore,assgp,sgp,Bananas,19391772
Asia,as,Syria,assyr,syr,Bananas,22018283
Asia,as,Thailand,astha,tha,Bananas,884547
Asia,as,Tajikistan,astjk,tjk,Bananas,568790
Asia,as,Turkey,astur,tur,Bananas,175883356
Asia,as,Uzbekistan,asuzb,uzb,Bananas,3362372
Asia,as,Vietnam,asvnm,vnm,Bananas,295770
Asia,as,Yemen,asyem,yem,Bananas,217
Asia,as,United Arab Emirates,asare,are,Berries,16201933
Asia,as,Armenia,asarm,arm,Berries,325311
Asia,as,Azerbaijan,asaze,aze,Berries,353956
Asia,as,Bangladesh,asbgd,bgd,Berries,8913
Asia,as,Bahrain,asbhr,bhr,Berries,758717
Asia,as,Brunei,asbrn,brn,Berries,213299
Asia,as,Bhutan,asbtn,btn,Berries,1731
Asia,as,China,aschn,chn,Berries,229026655
Asia,as,Christmas Island,ascxr,cxr,Berries,447
Asia,as,Cyprus,ascyp,cyp,Berries,466970
Asia,as,Georgia,asgeo,geo,Berries,282631
Asia,as,Hong Kong,ashkg,hkg,Berries,121866556
Asia,as,Indonesia,asidn,idn,Berries,1541077
Asia,as,India,asind,ind,Berries,1705952
Asia,as,Iran,asirn,irn,Berries,2859
Asia,as,Iraq,asirq,irq,Berries,277887
Asia,as,Israel,asisr,isr,Berries,5733913
Asia,as,Jordan,asjor,jor,Berries,278533
Asia,as,Japan,asjpn,jpn,Berries,19383129
Asia,as,Kazakhstan,askaz,kaz,Berries,472578
Asia,as,Kyrgyzstan,askgz,kgz,Berries,13994
Asia,as,Cambodia,askhm,khm,Berries,70429
Asia,as,South Korea,askor,kor,Berries,27242337
Asia,as,Kuwait,askwt,kwt,Berries,1632809
Asia,as,Lebanon,aslbn,lbn,Berries,258547
Asia,as,Sri Lanka,aslka,lka,Berries,169
